Hospital Name,Link,State,Address,"""Always"" quiet at night","""Usually"" quiet at night","Room was ""always"" clean","Room was ""usually"" clean","Patients ""always"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted","Doctors ""always"" communicated well","Doctors ""usually"" communicated well","Nurses ""always"" communicated well","Nurses ""usually"" communicated well","Staff ""always"" explained","Staff ""usually"" explained",Summary,Review Counts,Experience,Billing,Quality of Care,Other,Timeliness,Average Rating
Beth Israel Deaconess Hospital-Milton,https://www.yelp.com/biz/beth-israel-deaconess-hospital-milton-milton,MA,199 Reedsdale Road,45,34,65,24,60,28,84,13,80,16,63,19,,1,0,0,0,0,40.0,2.4242424242424243
Va Boston Healthcare System - Jamaica Plain,https://www.yelp.com/biz/va-boston-healthcare-system-boston,MA,150 S. Huntington Avenue,47,31,67,22,64,27,80,13,77,18,59,20,"She squatted down to our little one's level to introduce herself and to let her know that she was in a safe place where people were going to take good care of her.SPLITI transferred (due to a move) from a renowned hospital from Boston to the outskirts of Boston, and I am very happy to be here because of several reasons: 1) parking is cheaper than in Boston, 2) home town feeling, 3) altruistic and kindness towards everyone equally (no feeling of being treated differently because I am a minority, and 4) I don't have to drive an hour away to deal with traffic in Boston.SPLITShe was friendly and patient and didn't give me a bad time about any of the questions I couldn't answer off the top of my head.SPLITI'm honestly surprised there are such low ratings for this hospital (not to doubt patients negative experience here were real) but we had a 5 star visit when my husband had to take me late at night last week when my wrist started to hurt so bad I was crying hysterically in pain.SPLITI mean AWFUL from the 4-5 HR wait time to the flat out RUDE staff & my husband was not about to put me through more agonizing pain than I was already in so he brought me to Emerson..SPLITI again told her what happened, that this pain had been developing for weeks and only the day before it got so bad I couldn't move.SPLIT462",40,0,0,0,0,25.53191489361702,3.0
Brigham And Women's Hospital,https://www.yelp.com/biz/brigham-and-womens-hospital-boston-3,MA,75 Francis Street,53,33,67,23,67,24,82,15,82,15,62,21,"Although, that may sound real ""There Will Be Blood"" old school, but,  It get's like that with matters of great importance.SPLITNothing is worse than waiting for a loved one to come out of surgery, and the waiting room provides the perfect nerve-calming environment.SPLITI hate to see them, but know they'll take excellent care of me when it's needed.SPLITEvery time she said something nasty to me I could hear her pounding away on her keyboard, no doubt recording what an ass I was.SPLITI have been trying to get one since last year, and the point person between the public and the psych department is the rudest, most unprofessional, condescending jerk I've dealt with in my 20+ years of receiving psychiatric treatment.SPLITI have never seen a hospital as bad as this one the staff is awful and rude.SPLIT2250",223,0,0,0,0,30.502599653379548,3.125
Good Samaritan Medical Center,https://www.yelp.com/biz/good-samaritan-medical-center-brockton,MA,235 North Pearl Street,41,34,66,24,50,33,76,16,75,19,56,21,"Anytime i need help there is always someone there with a smile on their face willing to make me feel like a person that is cared about.SPLITYou would think, If someone needs help you would atleast think they'd be friendly, and care some.SPLITMy husband took a spill on Christmas Eve day and was seen within 30 minutes, pretty good for a holiday!SPLITI hate to use these words but Christina was a sad, miserable, nasty woman.SPLITI myself have been in the er for asthma where I was put in the hallway which isn't a big deal I understand they get full but I could hear everything the nurses said which wasn't very nice things including them bitching about a dead women's family saying their goodbyes .SPLITMy sister was brought into the hallway and interrogated aggressively by an attending, who in a belligerent and completely insensitive manner told her that she and our patient were in denial and needed to prepare for the worst case scenario.SPLIT609",65,0,0,0,0,26.60098522167488,2.2432432432432434
Tufts Medical Center,https://www.yelp.com/biz/tufts-medical-center-boston,MA,800 Washington Street,56,35,74,21,63,30,85,13,85,12,65,18,"On e nurse actually said  I should be happy I got delayed because we saved a human being.SPLITDrove right up and had the valet park my car for free!SPLITPLEASE visit some other hospital.SPLITThe first room they moved me out was because there was a aid in there already for the other patient and need a room with an aid fora new patient.They moved me into a room room by myself and then this crazy women moved in and screamed at my family for moving the table and bumping inot her bed and me for accidentally bumping my medicine tree into her bed she was screaming at me and told me i need to move out.SPLITNo water, no notifications about his exams, no availability to speak with any nurse staff because they were too rude to answer any question.SPLITAbsolutely terrible!SPLIT74",9,0,0,0,0,26.08695652173913,2.522875816993464
Brigham And Women's Faulkner Hospital,https://www.yelp.com/biz/brigham-and-womens-faulkner-hospital-jamaica-plain,MA,1153 Centre Street,58,32,72,18,72,20,86,10,85,13,63,19,"If you plan on visiting the ER, Saturday night around 11 AM is evidently the best time.SPLITIf you are having a baby PLEASE!SPLITKacey 2061 was caring for a patient with an open wound/ was cleaning it at the moment.SPLIT0 stars for horrible service.SPLITHad horrible wait times for diagnostic tests.SPLITNurses when shift were over didn't have turn over and felt I was forgotten about.SPLIT31",5,0,0,0,0,50.0,2.94
Norwood Hospital,https://www.yelp.com/biz/norwood-hospital-norwood,MA,800 Washington Street,46,36,77,18,61,29,78,17,79,17,63,18,"Omg ur wait time will probably be the reason you die so please please please drive yourself somewhere else especially if it's for your child there should be NO reason for it to take 5 hours for any child to be seen for any reason and then to have the children sitting with the crack heads trying to school pills come on we're the freaking cops and security that should be sitting in the er .please save urself by urself here the stuff I seen the passed 2 times I have gone here is just what you would get on cops without the cops also my son could've got in and out of children's before 5 hours time .SPLITLuckily, parking and valet is always free.SPLITI'm sure their medical capabilities are up to par, but can someone please tell me why they have CNN playing in their waiting rooms?SPLITThe doctor was very sweet we saw but 5 hours with a 5 year old who's screaming in pain what the hell is wrong with this place .SPLITThe nurses on the night shift are so horrible it borders on abuse.SPLIT7cm later i got the epi, i was in less pain so I felt bad, I told her I'm sorry I'm  not usually like this, I started thinking was I that awful?!SPLIT286",28,0,0,0,0,23.711340206185564,2.0625
Falmouth Hospital,https://www.yelp.com/biz/falmouth-hospital-cape-cod-healthcare-falmouth,MA,67 & 100 Ter Heun Drive,52,35,77,18,65,28,81,14,81,16,60,18,"""Well, are you sure you did not miss a poop"" No, I did not miss a poop, I am 100% positive he has not pooped since Saturday.SPLITI know this place can seem like a zoo sometimes but I love this hospital.SPLITAfterwards I decided to choose a pediatrician from this hospital because I knew they would receive the best care.SPLITThe only thing worse  than being sick, is being sick at this place.SPLITThe only thing I found bad was the cleaning of the emergency room, the floor was dirty with urine.SPLITSo, wrong she had the wrong body part as the complaint.SPLIT961",87,0,0,0,0,29.02208201892745,2.8928571428571432
Umass Memorial Medical Center,https://www.yelp.com/biz/umass-memorial-medical-center-university-campus-worcester-4,MA,55 Lake Avenue North,43,39,68,21,57,29,78,16,76,18,61,18,,1,0,0,0,0,100.0,2.0476190476190474
"Lahey Hospital & Medical Center, Burlington",https://www.yelp.com/biz/lahey-hospital-and-medical-center-burlington-3,MA,41 & 45 Mall Road,52,37,67,22,64,27,83,14,82,15,66,17,"The fold-out bed for the father to stay the night on is a joke at best.SPLITWe even don't live in that area, but many people I know mentioned how good the services are.SPLITIt felt like a joke.SPLITTerrible psyhatry Doctors dont care about there patients.They are kicking my son out of the hospital without doing any tests and and without finding any medications for him he is feeling worse than when we put him in the hospital.SPLITI understand you are busy and that there are protocols (and I can stomach the wait), but at the very least, we could have been updated instead of sitting around with hours of no communication wasting bed space.SPLITI never liked hospitals, I know so many people who have died, as a result of a long wait for treatment in hospitals.SPLIT216",17,0,0,0,0,25.0,2.113636363636364
Metrowest Medical Center,https://www.yelp.com/biz/framingham-union-hospital-metrowest-medical-center-framingham,MA,115 Lincoln Street,51,32,68,22,68,22,78,16,78,17,63,17,"From the minute I walked in, I have been rested so wonderfully!SPLITAs an aside (but an important aside), this place is a total Cattle-call - they rush the women in - get the xray images- rush them out at a very fast ""assembly-line"" pace, with little opportunity to ask questions (unless you don't mind being made to feel like you are a silly nuisance) - you know, with all your background research, prior MRI reports and documented questions - c'mon - THEY'RE the doctors after all...why should you worry your pretty little head?SPLITThe wait time to be seen was extremely sort and I was given a private room with cable TV to help pass the time as care was administered.SPLITHorrible bad attitude doctors and staff!SPLITThis may sound weird but they didn't come in during the night to torture you.SPLITWorst hospital I've ever been too!!SPLIT169",23,0,0,0,0,31.70731707317073,2.931034482758621
St Vincent Hospital,https://www.yelp.com/biz/saint-vincent-hospital-at-worcester-medical-center-worcester,MA,123 Summer Street,43,35,69,21,65,24,77,17,77,17,63,20,"I wish she had seemed more concerned, and I hope that steps have been taken to ensure that situations like this do not continue to occur.SPLITI just took my son to the Emergency last night and he was placed in a room next morning.So far I dont know much, but the emergency nurse took 40 minutes of her time, at 11 pm, to talk to me and was super nice, and the little lady in the lobby, who greets and directs the patients when they enter, she was at least 80 yrs old and she said this to me: I pray for you and your child.SPLITWow, were we well taken care of.SPLITWhen approaching the front desk to ask what was going on, she was met with hostility and a rude temper.SPLITLet me scream a big WTF???SPLITThe lady that proceeded to give me the shot was rude disgusting and impatient.SPLIT750",81,0,0,0,0,32.35294117647059,3.032258064516129
Albany Memorial Hospital,https://www.yelp.com/biz/albany-memorial-hospital-albany-2,NY,600 Northern Boulevard,53,34,70,22,62,27,77,17,78,18,58,16,"But if they ever do, they are going to be mighty glad that the person taking care of them left the much less sick patient waiting in triage to take care of then while they are almost dying a few feet away from the ""healthy"" people.SPLITWe were shifted from L&D to Mom & Baby care room that was to be shared with another mom.SPLITShe was able to mutter enough about how she had read that Winchester Hospital was one of the best in the area despite the fact that she could see Lahey from her back window.SPLITMy boyfriend came in after severely hurting his back at work and the bitchy nurse at check in was in such a hurry to not help us she knocked over his bottle of water laughed then ran out and expected him to bend over and pick it up... With a hurt back.SPLITShame, shame, shame.SPLITIt was terrible to feel so sick then have these people act like you were inconvincing them.SPLIT360",34,0,0,0,0,34.69387755102041,3.8181818181818175
Healthalliance Hospital Broadway Campus,https://www.yelp.com/biz/healthalliance-hospital-broadway-campus-kingston,NY,396 Broadway,46,36,66,23,63,25,70,21,76,19,59,23,"I would highly suggest you avoid the Milton Hospital ER, and deal with the wait at South Shore Hospital - it's well worth it for higher quality care and better hygiene practices!SPLITI had never been to Winchester Hospital- but was treated wonderfully, especially my son!SPLITI don't know about the rest of the place but their Baby ward was Wonderful!SPLITNevermind the nasty attitude of the incompetent nurse who was apparently very upset that she was required to stay with my mother during the tests she was having done, and her attitude when we asked for a tray for my mother to put her drink on so she could access it and for her IV to be unhooked so she could use the bathroom.SPLITNot too mention they were rude and one of the nurses wasn't very happy to be getting me pads she huffed and puffed, like okay maybe you shouldn't be working here if you hate it so much .SPLITI don't know whether she's lazy or she's just plain racist.SPLIT384",37,0,0,0,0,32.142857142857146,1.0
Kaleida Health,https://www.yelp.com/biz/kaleida-health-buffalo-18,NY,"726 Exchange Street, Suite 522",44,36,59,26,59,28,74,19,74,18,59,19,"And luckily I did, as my injuries required a 5 day hospital stay.SPLITI challenge anyone to find better facilities than these.SPLITYou're much better off going to South Shore hospital.SPLITI have 5 broken ribs and a partially collapsed lung.SPLITI have had nothing but extraordinary care at both Boston areas locations.SPLITI went to Milton Hospital twice because I was sick.SPLIT34",6,0,0,0,0,30.76923076923077,1.0
St Joseph's Medical Center,https://www.yelp.com/biz/saint-josephs-medical-center-yonkers-2,NY,127 South Broadway,60,30,76,15,57,27,75,19,76,16,59,22,"I would definitely tell any other friend or family member to seek civilian care rather than go to the VA for their medical needs.SPLITI know a lot of people who have also had surgery here/gave birth and had similar experiences as I had.....

BWH also treats loved ones well.SPLITSo yes I was determined to have my baby at Cambridge Hospital.SPLITI wish they WOULD ROT IN HELL FOR WHAT THEY DID TO MY FATHER, AWFUL AWFUL!!!!SPLITMy wife had a baby late at night  and after the baby came the nurse told me I had to leave and couldn't sleep on the cot because my 6 year old daughter was there and no kids can be there,  when I said I was just gonna take a nap and leave in 2 hours I was told in a very threatening manner if I didnt leave now they would call social services and have my daughter removed from my custody, so we left at 3 a.m. exhausted and made the hour drive home.SPLITAlthough I am extremely embarrassed and ashamed right now for taking up a bed and feel a little hopeless because what I thought was there in fact is not.SPLIT580",45,0,0,0,0,28.484848484848484,1.5454545454545454
Bronx-Lebanon Hospital Center,https://www.yelp.com/biz/bronx-lebanon-hospital-center-bronx-2,NY,1276 Fulton Avenue,52,29,71,15,51,25,76,15,70,19,53,18,"These people treat our loved ones as experiments and testing tools for students.SPLITNobody should bring anyone they love to this place.SPLITAgain, not sure what's going on over there, but it's definitely not the sort of place where you want to put your life on the line.SPLITThe ER doctor refused to stop trying to straighten my fingers even though I explained that the pain was excruciating.SPLITHer room itself was terrible, she had large holes in the walls and dirt every where, tell me how that is sanitary?SPLITShe noticed that the doctors where 40 minutes late so she buzzed them and we waited and half hour later she is in tears because the pain and buzzes them again.SPLIT115",11,0,0,0,0,23.52941176470588,3.0
Our Lady Of Lourdes Memorial Hospital,https://www.yelp.com/biz/our-lady-of-lourdes-memorial-hospital-binghamton,NY,169 Riverside Drive,53,33,72,21,65,25,74,19,76,19,63,19,"Enjoyed that there was a lot of security and valet...SPLITThe receptionist accomodated pretty well!SPLITI have several specialists that I see here as well as primary care.SPLITI was actually put at greater risk of harm and death BECAUSE I was admitted to the Brigham!SPLITEven after 6 hours, they missed the patient's head injury.SPLITHorrible!SPLIT145",15,0,0,0,0,26.47058823529412,2.625
Albany Medical Center Hospital,https://www.yelp.com/biz/albany-medical-center-albany-12,NY,"43 New Scotland Avenue, Mail Code 34",42,39,64,24,60,29,72,21,76,19,57,18,"Hope that is clear and when you hung up on us we called back and were able to speak with a Doctor.SPLITSocialized Medicine poorly trained support staff, (and poorly trained doctors) are so common.SPLITSPLITAnd to bully a patient or family is acceptable because we all know that bullies get their way because no one wants to deal with them.SPLITThe patient in question was mixed up with another patient, and other times upon discharge we were give wrong presciptions, and received mulitple phone calls correcting diagnosis.SPLIT_] in her poor trials of this.""SPLIT64",5,0,0,0,0,11.11111111111111,2.125
Jamaica Hospital Medical Center,https://www.yelp.com/biz/jamaica-hospital-jamaica-3,NY,89Th Avenue And Van Wyck Expressway,49,30,70,21,59,22,78,15,74,17,56,17,"Called back & got registered as a new patient & was transfered to get assigned a primary care doctor, when i was told none of the doctors in the office were accepting new patients & she had another number for a building that was ""linked"" to brigham & womens.SPLITThis may be is fine in other areas of life and business but the hospital needs to be a place where the patients can have a dialogue where clear communication takes place and where their needs are met.SPLITFor the operation, I was so concerned that I would get the care that I needed that I paid for a private room ($750.SPLITWe were seen immediately, but after that the communication was horrible.SPLITToo much run around & trouble already!SPLITThe staff the hospital employed then did not speak English sufficiently and they had an attitude problem.SPLIT71",9,0,0,0,0,28.57142857142857,1.942528735632184
New York Community Hospital Of Brooklyn.,https://www.yelp.com/biz/new-york-community-hospital-brooklyn-2,NY,2525 Kings Highway,54,31,74,19,65,22,75,18,73,20,58,20,"They need a better system!!!!!!!!!!!!!SPLITMy mother is alive and well, so I corrected them.SPLITUnfortunately the Hospitals treat their service staff like 2nd class citizens and the patients get the short end of those sticksSPLITWhile they were taking my medical history, they said 'we understand from your notes that your Mother died of cancer, we're so sorry.'SPLITSometimes it can be difficult to schedule an appt in a timely manner, parking is usually a nightmare unless you valet, the ER is hit or miss( most ERs are though) but there really isn't a better option for healthcare than this place.SPLITOne of the worst doctors I have ever encountered is Dr. Leonard Stuart Lilly.SPLIT126",12,0,0,0,0,16.666666666666664,2.8529411764705883
Vassar Brothers Medical Center,https://www.yelp.com/biz/vassar-brothers-medical-center-poughkeepsie-2,NY,45 Reade Place,42,34,60,25,56,27,76,17,77,17,62,18,"When a vital body part conks out on you, the good doctors at Brigham and Women's Hospital are poised and ready to bless you with a brand new one.SPLITThey absolutely respect your opinion and will gladly help you with any concerns you may have!SPLITSo yes, if you or someone you know needs an ER trip, I recommend Brigham and Women's...you can watch TV and pretend you care all at the same time!SPLITDisclaimer -- these tours are organized by Isis, so I don't know whose fault this poorly planned tour is, the hospital's or Isis' , but I hope this poor review makes the hospital realize that something is terribly wrong either with their system,or with using Isis' services.SPLITBefore the PCA, I had to specifically ask the nurse/attending for pain medications, which would generally take 45 minutes to an hour to actually get processed, during which I was in severe pain.SPLITIt is incredibly disgusting and nasty (yes, I believe those are the medical terms).SPLIT537",54,0,0,0,0,40.52287581699346,2.1690140845070425
Nassau University Medical Center,https://www.yelp.com/biz/nassau-university-medical-center-east-meadow,NY,2201 Hempstead Turnpike,45,32,65,21,51,24,72,20,66,21,52,19,"LOL ok I understand this probably doesn't matter to most of you but come on ladies nothing wrong with seeing a sexy man to brighten up your day.SPLITA trip to the ER at 2AM is always miserable, but at BWH you don't wait hours to be seen, the people at the front desk are helpful, and  the doctors and nurses are super nice...they even brought in an extra chair and blanket for the person I had with me.SPLITToday, the spot on my hand is still pretty tender and swollen.SPLITI lost a fight with an 800 lb Murphy Bed and needed 10 staples in my head.SPLITI walked into the emergency room and no one really acknowledged me for a couple minutes.SPLITI am totally horrified.SPLIT132",15,0,0,0,0,34.146341463414636,1.6363636363636365
Richmond University Medical Center,https://www.yelp.com/biz/richmond-university-medical-center-staten-island-2,NY,355 Bard Avenue,49,29,60,25,56,27,72,18,71,20,57,16,"I like her as well because she gives great clinical advice and I've noticed how she enjoys getting to know her patients on a personal level.SPLITyes they gave him some hepatitis vaccine 2 times, i was BS , but ""dont worry, it wont do any harm"" they assured me.SPLITif i ever have another child ill definitely be trying out brockton hospital plus they give the awesome free photo package there, which good SAM did not.SPLITNasty Nasty Nasty people!SPLITFrom the uncoordinated doctor and nurse teams, I spent 4 days in hell here.I came in via ambulance after having later been diagnosed with a severe case of pneumonia and concussion from car crash.SPLITAll the negative reviews are from people who are into instant service, the hell with emergency's.SPLIT1797",184,0,0,0,0,26.168224299065418,2.578125
Newark-Wayne Community Hospital,https://www.yelp.com/biz/newark-wayne-community-hospital-newark,NY,111 Driving Park Avenue,46,38,72,20,62,29,78,17,78,18,65,19,"They wont tell you that you can have someone sit with your loved one instead of you sitting there all night so that they dont drug up your loved one.SPLITWhen we got to the bottom, someone came to ""help"" but I'm pretty sure they were just valet (not a mechanic).SPLITBut at the end of the day,  they may not really care about or know what is best for our loved one.SPLITFirst of all, I get that they have valet but otherwise, there's not a lot of close parking, so we had to park on the 2nd level of the parking garage and pay, which is obnoxious when you are there in an emergency.SPLITEver experience is bad, when you have people you don't trust take care of you.SPLITShort story, they do an OK job (at least for me) but nothing extraordinary, and I wish they were a little more forgiving of sick people being sick.SPLIT658",48,0,0,0,0,29.533678756476682,2.5
Chenango Memorial Hospital,https://www.yelp.com/biz/uhs-chenango-memorial-hospital-norwich-2,NY,179 North Broad Street,62,30,73,19,74,20,77,17,84,14,63,19,"The nurses are caring, they let you paint pictures and stuff, and you can order 2 big meals with pretty much anything you like (there are drinks, sides, desserts, etc.SPLITI was forced to sit in a wheel chair while a frail old nurse insisted on pushing me down the hall to my resting place- (Mind you, my legs work PERFECTLY fine) Ok- free ride!SPLITFabulous in patient care.SPLITThis hospital doesnt even deserve 1 star.My 98 year ols grandmother was taken here on Monday for pain due to a fall.She was taken to the Er and my family was denied access to her for over 1 hour and when finally allowed back, she was screaming in pain in the hallway unattened.-They had her mixed up with another patient.She was moved to the 3rd floor, in a semi-private room.The patient had numerous visitors and we requested a private as Grandma was acting up, we were declined, yet, her roomate got 1?SPLITThe worst hospital no sense of urgency and imaging closed on a weekend regardless how serious condition is.SPLITWill never return to this nasty excuse for an emergency room.SPLIT332",37,0,0,0,0,25.53191489361702,1.0
Southside Hospital,https://www.yelp.com/biz/southside-hospital-bay-shore,NY,301 East Main Street,48,34,70,20,54,31,77,17,77,17,60,20,"Pretty clear at this place.SPLITSPLITSPLITAfter dealing with the rude, inconsiderate women at the reception desk we waited more than 3 hours to be seen for a fairly serious injury.SPLITAbsolutely horrible.SPLITTerrible ER!SPLIT40",5,0,0,0,0,12.5,2.066666666666667
Huntington Hospital,https://www.yelp.com/biz/huntington-hospital-huntington-2,NY,270 Park Avenue,47,38,77,18,60,31,79,17,80,16,62,18,"I felt like the doctor was very good - a little bit of a superior attitude, but he tried to have some compassion (at least he said the words) & he made the right choices on my behalf.SPLITHad we not gone for a 3rd opinion, our child would have had surgery on a perfectly good arm!!SPLITA young nurse came over to me and asked me if she could help me with a smile on her face; friendly.SPLITUsually I ignore these things, but I'm sick and tired of mean people!!SPLITIt was the best night of sleep I had in weeks of being sick, and working in the Hospitality field, I had no sick days, no days of working less than 12 hours, and it was no wonder I was so sick.SPLITSince this hospital has switched hands, the staff seem unhappy, angry and just plain miserable to be there.SPLIT910",87,0,0,0,0,27.77777777777778,2.8541666666666665
Mount Sinai West,https://www.yelp.com/biz/mount-sinai-west-new-york-4,NY,1000 Tenth Avenue,52,30,68,26,58,30,76,19,73,21,56,19,"Please if you love your family do NOT let them come to this hospitalSPLITThey were efficient in getting me down to the ER, which was too full so I had to lay around in hallway like one of Those People, with my IV and blankie.SPLITMuch better hospital and competent staff.SPLITNot impressed with UMASS in general, but the emergency room is horrible.SPLITMy parents swear by this place, but in my opinion they are rude and unprofessional.SPLITNurse on 7th floor is rude and has the worst bedside manner (almaz) I have ever come in contact with.SPLIT320",31,0,0,0,0,21.551724137931032,2.109090909090909
St Mary's Hospital At Amsterdam,https://www.yelp.com/biz/st-marys-healthcare-amsterdam-amsterdam,NY,427 Guy Park Avenue,48,35,72,19,70,21,75,18,81,15,65,19,SPLITSPLITSPLITThere is a genuine discrimination against the sick and elderly.SPLITShame on this hospital and the uncaring staff of doctors.SPLITWhat they do is tell the sick person not to be treated at the hospital but to be treated at home.SPLIT11,1,0,0,0,0,0.0,1.5
Northern Dutchess Hospital,https://www.yelp.com/biz/northern-dutchess-hospital-rhinebeck-3,NY,6511 Springbrook Avenue,56,33,77,17,71,21,79,17,83,14,66,19,"The 2nd visit I gave a 5 star probably because of the good chastisement I gave her.SPLITI've been taking lamical for a long time now with a lot of side effects and see if she could help me.SPLITSPLITNot what you tell anyone especially someone with a sexual abuse history.SPLITSo many terrible experiences here!SPLITI have seen half a dozen there and all were one or more of: 
arrogant(all)
rude(5)
called ME an idiot(1)-and the head of the department DEFENDED the doctor when I reported him
mocked me for being in pain(said he can't help me because he left his magic wand at home)(1).SPLIT136",18,0,0,0,0,21.21212121212121,3.5454545454545454
New York-Presbyterian/Queens,https://www.yelp.com/biz/newyork-presbyterian-queens-flushing-2,NY,56-45 Main Street,46,34,71,21,58,27,76,19,74,20,57,20,"I would give this place 1 star because my experience there has been terrible, but I have heard success stories from friends and family about Lahey, so they get a pity star from me for succeeding with other patients.SPLITI had always heard good things about the famous Lahey Clinic, so my hopes were pretty high.SPLITBecause they were happier, as a patient, I felt like I was in a better mood.SPLITVERY rude and unprofessional.SPLITWe take her to this emergency room where the stupid ER doctor told us he's not a pediatrician and couldn't help.SPLITDuring that time they have treated me for back problems, cancer (twice) and open heart surgery.SPLIT852",85,0,0,0,0,26.548672566371685,2.833333333333333
Brooklyn Hospital Center At Downtown Campus,https://www.yelp.com/biz/the-brooklyn-hospital-center-brooklyn-2,NY,121 Dekalb Avenue,53,25,57,24,48,26,73,18,64,23,55,15,Had to be admitted A few hours go by and the nurse comes in and tells me they have finally found me room on the floors but I would have to share it with someone and I would have to tell him right now if it was ok with me Sharing the room with someone.SPLITI have been to urgent care twice and was treated with respect and sensitivity both times.SPLITI will never set foot there again and recommend that anyone else steer clear as well.SPLITHas to be The worst hospital going I was in the emergency room was having trouble with my asthma got there about 2:47pm the nurses and doctors are rude as can be.SPLITShe can get you addicted..then go to Ms. Handi..get the worst treatment that could also be fatal and then have them look at you and take NO RESPONSIBILITY....I advocate for myself now.SPLITThey blatantly lie to me and  make me feel like it's my fault and then make me feel stupid for even calling to try to be my own advocate for my own health if I don't call and tell you as my doctor what's wrong how can I not get better cause you're not going to call me.SPLIT336,32,0,0,0,0,32.608695652173914,1.96078431372549
St Peter's Hospital,https://www.yelp.com/biz/st-peters-hospital-albany-8,NY,315 South Manning Boulevard,48,36,65,23,62,28,78,17,80,16,61,19,"Great valet service and a pretty atrium with free wifi so I could  work and spend my 10 hour long day.SPLITI was well taken care of and appreciated the whole trip, which wasn't hours long in the waiting room like other hospitalsSPLITTwo security guards right next to patients registration window   talking as loudly as they it seems like they are in love with other!!!SPLITWorst hospital I've ever been ever from the rude receptionist to the doctor that looked at me and spent 3 min in the room with and seemed like he was guessing I had to leave there and go to another emergency room places like this should be closed again worst hospital everSPLITWoman at the ultrasound desk in the green scrubs (no name) was sooo rude, unhelpful, and unprofessional, non-stop snapping her gum, just disgusting to have to listen to for 30 minutes while waiting for my appointment.SPLITIt took forever to get my tests done, but once I had my final test completed I was sitting around for another 4 hours doing absolutely nothing but waiting in my room, freezing cold, and bored to death.SPLIT1587",176,0,0,0,0,26.122448979591837,2.72
Geneva General Hospital,https://www.yelp.com/biz/geneva-general-hospital-geneva,NY,196 -198 North Street,60,32,64,24,62,27,78,16,74,20,60,16,"no matter if your need help, they wont help you.. so please looking for good health jamaica hospital is not the one.. do more research to find a better hospital with better doctors and workers, so you can have great service without discrimination.SPLITMy hubby lucked out and got a great nurse who made sure he was taken care of in an appropriate manner.SPLITIf you could fin beter staff with their good doctors and change the location, this hospital would be awesome.SPLITI'm so mad for going to this place i wud of went to any other emergency room they wud of quickly attended me but these ppl they're a bunch of weirdos, bad intentioned, make foolish remarks abot patient's they don't even know joke n make fun of patients i heard all of this within minutes of beeing there n i had to leave i just don't trust these idiots who shudn't be working in a hospital to begin with.SPLITNurse Andrea A. and Dr. King were very helpful and attentive but the guy who does the registration is very rude and nasty (should have gotten his name) popping his gum with his stink face and dreads ...if you dont want to deal with people ...work in a cubicle so that you dont have to speak with anyone ever again ...
How do I ask where someone is and they couldn't find him, but he was brought in by ambulance an hour before ...no one knew where he was, 3rd world country hopitals are better organized than this place, they need a serious staff overhaul with people who want to genuinely help people!!SPLITi advised womens not to have your baby or deliver your baby at jamaica hospital or any health issues they provide bad service,  racist workers, and discrimination behaviors to the patient they will find ways to take your child to cps.SPLIT410",47,0,0,0,0,21.73913043478261,5.0
Montefiore Medical Center,https://www.yelp.com/biz/montefiore-medical-center-bronx-15,NY,111 East 210Th Street,47,31,63,22,56,25,78,15,73,19,60,17,"Please there are Urgent cares out there and better hospital that treat and respect  you as a human being.SPLITMain lobby is very welcoming; open and brightly lit up with fresh flowers making you feel more relaxed rather than in a sterile environment, that most hospital's make you feel like.SPLITIt's clear these women are stretched beyond capacity but they are trying their absolute best and always with a smile.SPLITThis hospital must be the most useless waste of taxpayers money in the world people have no idea what they're doing no idea what they're talking about I went there to get a script filled that I called and they told me they were fillet I get there within an hour and a half in the emergency room only to be told that I could possibly run down and get wait at another clinic emergency room for another two hours so they could possibly see if they would write the script or not so in a total of four hours at waiting for One prescription the hospital should go out of business they are ridiculous and not helpful and to top it all off they made me pay for my car to sit there for four hours to wait so the whole place is a scam never go thereSPLITShe suffered a horrible hell of a death for 15 hours and she spent it all in this dirty place.SPLITtelling a patient you going to die  without consulting the family is evil Nurse Bruce Knickerbocker   called security on my father to leave the night before she died because my mother requested discharge and Dr. David knot head of floor refused her discharge they are scum of scum my mother died  the next morning .SPLIT1991",213,0,0,0,0,22.822822822822822,1.5
Niagara Falls Memorial Medical Center,https://www.yelp.com/biz/niagara-falls-memorial-medical-center-niagra-falls,NY,621 Tenth Street,50,36,61,24,65,24,77,17,75,19,55,18,"I'm not an emergency room brat, but I've been to many hospitals and I can honestly say that Nassau university Medical Center definitely does not come up to snuff.SPLITCertainly better than Staten Island University Hospital..

A  privately run hospital that really wasn't that bad.SPLITJesus, at least pretend like you people careSPLITMelody from Patient Information needs to be FIRED she was laughing about my Uncle being in the psychiatric ward, all around nasty attitude, place left a bad taste in my mouth.SPLITAwful awful awful.SPLITIf you're trying to kill yourself, head to their emergency room.SPLIT261",38,0,0,0,0,16.101694915254235,1.8333333333333333
